t,des_x,des_y,act_x,act_y,v,omega
30.796483,4.702306,3.523387,4.686369,3.412357,0.268504,0.941202
30.896480,4.717176,3.534737,4.709514,3.426214,0.270228,0.913110
30.996483,4.732018,3.546458,4.731442,3.442430,0.268104,0.882756
31.096474,4.746828,3.558547,4.751761,3.460574,0.263373,0.846438
31.196437,4.761603,3.571002,4.770122,3.480176,0.256622,0.801530
31.296500,4.776362,3.583841,4.786414,3.500923,0.249134,0.739276
31.396437,4.791071,3.597033,4.800460,3.522244,0.238466,0.667904
31.496478,4.805764,3.610608,4.812418,3.543699,0.227469,0.572128
31.596474,4.820417,3.624548,4.822451,3.564905,0.216443,0.445433
31.696477,4.835038,3.638858,4.830851,3.585615,0.205909,0.282966
31.796474,4.849625,3.653538,4.837977,3.605625,0.197045,0.087887
31.896486,4.864180,3.668590,4.842211,3.618502,0.218244,-0.103383
31.996486,4.878699,3.684010,4.848774,3.639014,0.208676,-0.271951
32.096491,4.893183,3.699801,4.855608,3.659520,0.201990,-0.415675
32.196461,4.907627,3.715956,4.862772,3.679112,0.202758,-0.513141
32.296454,4.922039,3.732485,4.870734,3.698275,0.209080,-0.563872
32.396450,4.936414,3.749384,4.879828,3.717348,0.217145,-0.588312
32.496437,4.950751,3.766651,4.890363,3.736636,0.226421,-0.580993
32.596483,4.965058,3.784299,4.902511,3.756026,0.233985,-0.557913
32.696515,4.979326,3.802315,4.916260,3.775343,0.239104,-0.520756
32.796483,4.993546,3.820689,4.931451,3.794327,0.241784,-0.469025
32.896439,5.007726,3.839430,4.947845,3.812754,0.242350,-0.401665
32.996481,5.021878,3.858557,4.965166,3.830483,0.241345,-0.317592
33.096480,5.035984,3.878047,4.983129,3.847469,0.239254,-0.217199
33.196479,5.050049,3.897906,5.001457,3.863762,0.236914,-0.103121
33.296498,5.064077,3.918140,5.013004,3.873650,0.271720,0.020472
33.396503,5.078060,3.938740,5.032869,3.889709,0.264546,0.149248
33.496500,5.092001,3.959709,5.053998,3.906822,0.252479,0.260805
33.596522,5.105902,3.981053,5.074009,3.923588,0.247369,0.355449
33.696505,5.119755,4.002759,5.092971,3.940387,0.248567,0.424323
33.796500,5.133566,4.024838,5.111231,3.957812,0.253687,0.467275
33.896466,5.147330,4.047279,5.128970,3.976292,0.260485,0.489596
33.996496,5.161057,4.070105,5.146214,3.996071,0.267593,0.495468
34.096505,5.174736,4.093297,5.162887,4.017244,0.273982,0.488173
34.196492,5.188367,4.116853,5.178865,4.039783,0.279144,0.469766
34.296461,5.201950,4.140775,5.194018,4.063568,0.282931,0.441316
34.396452,5.215489,4.165071,5.208247,4.088428,0.285441,0.403351
34.496453,5.228982,4.189741,5.221500,4.114169,0.286833,0.356415
34.596442,5.242426,4.214777,5.233784,4.140594,0.287369,0.301192
34.696512,5.255832,4.240204,5.241461,4.158496,0.326639,0.220411
34.796509,5.269181,4.265982,5.252510,4.186306,0.324285,0.155995
34.896515,5.282481,4.292132,5.263841,4.217369,0.308842,0.100046
34.996531,5.295734,4.318656,5.274309,4.247587,0.298594,0.034543
35.096509,5.308931,4.345539,5.284063,4.276861,0.293708,-0.028643
35.196506,5.322080,4.372797,5.293467,4.305496,0.293106,-0.081313
35.296512,5.335179,4.400428,5.302911,4.333893,0.294988,-0.124400
35.396511,5.348226,4.428426,5.312647,4.362310,0.298160,-0.155613
35.496512,5.361221,4.456795,5.322852,4.390868,0.301951,-0.174327
35.596458,5.374156,4.485518,5.333649,4.419608,0.305852,-0.181235
35.696486,5.387049,4.514635,5.345104,4.448523,0.309770,-0.177269
35.796489,5.399885,4.544115,5.357244,4.477592,0.313372,-0.163677
35.896504,5.412668,4.573968,5.370049,4.506782,0.316642,-0.141699
35.996450,5.425389,4.604170,5.383469,4.536065,0.319495,-0.112791
36.096517,5.438069,4.634779,5.392720,4.555631,0.366498,-0.071462
36.196485,5.450681,4.665727,5.407684,4.586746,0.361755,-0.051504
36.296518,5.463245,4.697066,5.423786,4.620140,0.348090,-0.018167
36.396514,5.475748,4.728764,5.439659,4.652610,0.339287,0.017717
36.496475,5.488190,4.760819,5.455149,4.684081,0.336016,0.053833
36.596507,5.500583,4.793268,5.470284,4.714954,0.337087,0.086243
36.696511,5.512914,4.826078,5.485211,4.745871,0.339815,0.115157
36.796506,5.525185,4.859254,5.499941,4.777115,0.343257,0.138918
36.896508,5.537399,4.892803,5.514426,4.808827,0.347029,0.156707
36.996508,5.549552,4.926722,5.528603,4.841087,0.350899,0.168351
37.096507,5.561645,4.961009,5.542411,4.873933,0.354740,0.173983
37.196464,5.573673,4.995652,5.555797,4.907378,0.358407,0.173943
37.296477,5.585646,5.030685,5.568724,4.941407,0.362032,0.168598
37.396509,5.597559,5.066094,5.581172,4.976004,0.365510,0.158550
37.496466,5.609402,5.101847,5.593146,5.011148,0.368650,0.144564
37.596531,5.621195,5.138008,5.600871,5.034861,0.423405,0.117552
37.696494,5.632913,5.174503,5.612703,5.072433,0.419149,0.113144
37.796495,5.644571,5.211381,5.625402,5.113381,0.402326,0.101791
37.896514,5.656168,5.248636,5.637287,5.153391,0.391424,0.088661
37.996520,5.667698,5.286256,5.648381,5.192268,0.387184,0.072384
38.096517,5.679162,5.324243,5.658908,5.230468,0.387520,0.054800
38.196502,5.690560,5.362595,5.669132,5.268622,0.389643,0.037159
38.296511,5.701893,5.401326,5.679193,5.306983,0.392472,0.020829
38.396521,5.713161,5.440428,5.689185,5.345643,0.395539,0.006606
38.496535,5.724361,5.479901,5.699180,5.384624,0.398719,-0.005078
38.596511,5.735490,5.519729,5.709235,5.423922,0.401917,-0.013947
38.696496,5.746551,5.559931,5.719395,5.463528,0.405219,-0.019849
38.796470,5.757543,5.600497,5.729697,5.503440,0.408557,-0.022767
38.896480,5.768470,5.641449,5.740167,5.543661,0.411977,-0.022810
